Disease,Symptom,HealthTips
Adenocarcinoma,"[""loss of taste"", ""tremor"", ""joint pain"", ""cough""]",Quit smoking and avoid alcohol consumption.
COVID-19,"[""night sweats"", ""fever"", ""palpitations"", ""cough"", ""loss of taste"", ""muscle twitch""]",Quit smoking and avoid alcohol consumption.
Epilepsy,"[""headache"", ""nausea"", ""diarrhea""]",Get adequate rest and sleep.
Adenocarcinoma,"[""dizziness"", ""muscle twitch"", ""constipation"", ""fever"", ""nausea"", ""night sweats"", ""chill""]",Maintain a balanced diet and stay hydrated.
Rheumatoid arthritis,"[""chill"", ""confusion"", ""tremor""]",Stay informed and get vaccinated when available.
COPD,"[""agitation"", ""chest pain"", ""fatigue""]",Quit smoking and avoid alcohol consumption.
Rheumatoid arthritis,"[""night sweats"", ""tremor"", ""vomiting""]",Engage in regular physical activity appropriate to your condition.
Alzheimer's disease,"[""fatigue"", ""rash"", ""muscle twitch"", ""night sweats"", ""constipation"", ""palpitations"", ""shortness of breath""]",Maintain hygiene to prevent infections.
Depression,"[""muscle twitch"", ""weight loss"", ""headache"", ""shortness of breath"", ""chest pain"", ""dizziness""]",Get adequate rest and sleep. Maintain hygiene to prevent infections.
Hypertension,"[""muscle twitch"", ""blurred vision"", ""vomiting"", ""sleeplessness""]",Maintain hygiene to prevent infections.
Gastroenteritis,"[""weight loss"", ""fatigue"", ""chill"", ""dizziness"", ""agitation"", ""muscle twitch""]",Practice stress-reducing techniques like meditation.
COVID-19,"[""night sweats"", ""fatigue"", ""confusion"", ""nausea"", ""vomiting""]",Engage in regular physical activity appropriate to your condition.
Pneumocystis carinii pneumonia,"[""rash"", ""chill"", ""headache"", ""tremor"", ""muscle twitch""]",Maintain hygiene to prevent infections. Practice stress-reducing techniques like meditation.
Depression,"[""dizziness"", ""palpitations"", ""chill""]",Follow prescribed medication schedules carefully.
Asthma,"[""swelling"", ""fatigue"", ""chill"", ""vomiting"", ""cough""]",Stay informed and get vaccinated when available.
Gastroenteritis,"[""dizziness"", ""joint pain"", ""vomiting""]",Get adequate rest and sleep. Ensure regular check-ups with your healthcare provider.
Hypothyroidism,"[""headache"", ""palpitations"", ""blurred vision"", ""dizziness"", ""swelling"", ""chill""]",Engage in regular physical activity appropriate to your condition.
COPD,"[""chest pain"", ""chill"", ""tremor""]",Ensure regular check-ups with your healthcare provider.
COVID-19,"[""nausea"", ""chest pain"", ""night sweats"", ""fever""]",Engage in regular physical activity appropriate to your condition.
Gastroenteritis,"[""tremor"", ""loss of taste"", ""sleeplessness"", ""constipation"", ""swelling""]",Maintain a balanced diet and stay hydrated.
Alzheimer's disease,"[""muscle twitch"", ""loss of smell"", ""shortness of breath""]",Quit smoking and avoid alcohol consumption.
Rheumatoid arthritis,"[""muscle twitch"", ""dizziness"", ""fever"", ""sleeplessness"", ""weight loss"", ""chest pain""]",Engage in regular physical activity appropriate to your condition.
Gastroenteritis,"[""sleeplessness"", ""chill"", ""vomiting"", ""rash"", ""blurred vision"", ""weight loss"", ""constipation""]",Quit smoking and avoid alcohol consumption.
Asthma,"[""fatigue"", ""tremor"", ""joint pain"", ""blurred vision"", ""chill"", ""dizziness""]",Ensure regular check-ups with your healthcare provider. Maintain hygiene to prevent infections.
Migraine,"[""weight loss"", ""loss of taste"", ""tremor"", ""loss of smell""]",Maintain hygiene to prevent infections.
Alzheimer's disease,"[""tremor"", ""cough"", ""constipation"", ""chill"", ""swelling"", ""loss of smell""]",Ensure regular check-ups with your healthcare provider. Practice stress-reducing techniques like meditation.
Rheumatoid arthritis,"[""sore throat"", ""chill"", ""cough"", ""dizziness"", ""fatigue"", ""agitation"", ""nausea"", ""tremor""]",Practice stress-reducing techniques like meditation.
Coronary artery disease,"[""loss of taste"", ""dizziness"", ""fever"", ""muscle twitch"", ""vomiting"", ""night sweats"", ""sore throat""]",Ensure regular check-ups with your healthcare provider.
Anemia,"[""fatigue"", ""weight loss"", ""sleeplessness"", ""tremor"", ""diarrhea"", ""muscle twitch"", ""constipation""]",Avoid known triggers and allergens.
Diabetes mellitus,"[""fatigue"", ""rash"", ""joint pain"", ""confusion"", ""cough"", ""night sweats"", ""chill""]",Maintain hygiene to prevent infections.
Stroke,"[""dizziness"", ""loss of taste"", ""joint pain"", ""loss of smell"", ""muscle twitch"", ""confusion""]",Stay informed and get vaccinated when available.
Anemia,"[""sore throat"", ""dizziness"", ""rash"", ""seizure""]",Practice stress-reducing techniques like meditation. Avoid known triggers and allergens.
Hypothyroidism,"[""loss of smell"", ""rash"", ""swelling"", ""fever"", ""joint pain"", ""chill""]",Follow prescribed medication schedules carefully. Quit smoking and avoid alcohol consumption.
Stroke,"[""diarrhea"", ""agitation"", ""constipation"", ""night sweats"", ""sore throat"", ""seizure"", ""loss of smell"", ""weight loss""]",Maintain a balanced diet and stay hydrated.
Hypothyroidism,"[""blurred vision"", ""dizziness"", ""diarrhea"", ""tremor""]",Quit smoking and avoid alcohol consumption. Maintain hygiene to prevent infections.
Pneumocystis carinii pneumonia,"[""night sweats"", ""constipation"", ""joint pain"", ""sore throat"", ""loss of smell"", ""nausea"", ""vomiting""]",Get adequate rest and sleep.
COPD,"[""diarrhea"", ""swelling"", ""sleeplessness""]",Quit smoking and avoid alcohol consumption.
Tuberculosis,"[""tremor"", ""fatigue"", ""dizziness""]",Get adequate rest and sleep.
Parkinson's disease,"[""muscle twitch"", ""palpitations"", ""confusion"", ""seizure"", ""shortness of breath"", ""dizziness"", ""vomiting"", ""cough""]",Quit smoking and avoid alcohol consumption. Avoid known triggers and allergens.
Coronary artery disease,"[""rash"", ""chill"", ""palpitations"", ""cough""]",Stay informed and get vaccinated when available.
Adhesion,"[""tremor"", ""dizziness"", ""chill"", ""nausea""]",Ensure regular check-ups with your healthcare provider. Practice stress-reducing techniques like meditation.
Hypothyroidism,"[""cough"", ""muscle twitch"", ""chill"", ""weight loss"", ""seizure""]",Avoid known triggers and allergens.
Adenocarcinoma,"[""swelling"", ""joint pain"", ""shortness of breath"", ""muscle twitch""]",Quit smoking and avoid alcohol consumption.
Pneumocystis carinii pneumonia,"[""weight loss"", ""muscle twitch"", ""palpitations"", ""confusion""]",Get adequate rest and sleep. Ensure regular check-ups with your healthcare provider.
Hypertension,"[""headache"", ""cough"", ""chill"", ""loss of smell"", ""nausea"", ""muscle twitch""]",Follow prescribed medication schedules carefully.
Hypertension,"[""weight loss"", ""chill"", ""headache"", ""loss of smell"", ""diarrhea"", ""night sweats""]",Stay informed and get vaccinated when available. Maintain hygiene to prevent infections.
Migraine,"[""chill"", ""blurred vision"", ""loss of taste"", ""shortness of breath"", ""dizziness"", ""confusion"", ""constipation"", ""cough""]",Quit smoking and avoid alcohol consumption. Stay informed and get vaccinated when available.
Tuberculosis,"[""vomiting"", ""confusion"", ""palpitations"", ""joint pain"", ""swelling"", ""dizziness"", ""dizziness"", ""rash""]",Follow prescribed medication schedules carefully.
Tuberculosis,"[""headache"", ""loss of taste"", ""blurred vision"", ""night sweats"", ""muscle twitch""]",Quit smoking and avoid alcohol consumption.
Hyperthyroidism,"[""muscle twitch"", ""fever"", ""fatigue"", ""swelling"", ""rash"", ""tremor"", ""seizure""]",Maintain a balanced diet and stay hydrated.
Stroke,"[""vomiting"", ""muscle twitch"", ""constipation"", ""nausea"", ""confusion"", ""chill"", ""fever"", ""weight loss""]",Follow prescribed medication schedules carefully. Quit smoking and avoid alcohol consumption.
Stroke,"[""confusion"", ""constipation"", ""night sweats""]",Get adequate rest and sleep.
Migraine,"[""fatigue"", ""palpitations"", ""dizziness"", ""sleeplessness"", ""loss of taste"", ""loss of smell""]",Ensure regular check-ups with your healthcare provider.
Rheumatoid arthritis,"[""vomiting"", ""sore throat"", ""diarrhea""]",Maintain a balanced diet and stay hydrated. Avoid known triggers and allergens.
Adhesion,"[""nausea"", ""palpitations"", ""shortness of breath"", ""sore throat"", ""sleeplessness"", ""weight loss"", ""agitation"", ""fever""]",Avoid known triggers and allergens. Maintain hygiene to prevent infections.
Pneumocystis carinii pneumonia,"[""chill"", ""night sweats"", ""loss of smell"", ""sore throat"", ""headache"", ""weight loss"", ""diarrhea""]",Follow prescribed medication schedules carefully.
Tuberculosis,"[""confusion"", ""loss of taste"", ""weight loss"", ""agitation""]",Ensure regular check-ups with your healthcare provider.
COPD,"[""rash"", ""shortness of breath"", ""palpitations"", ""constipation"", ""agitation"", ""night sweats"", ""chill"", ""chest pain""]",Quit smoking and avoid alcohol consumption.
Epilepsy,"[""vomiting"", ""diarrhea"", ""muscle twitch""]",Maintain hygiene to prevent infections.
Hyperthyroidism,"[""sleeplessness"", ""fever"", ""dizziness""]",Follow prescribed medication schedules carefully.
Rheumatoid arthritis,"[""dizziness"", ""nausea"", ""headache""]",Get adequate rest and sleep. Maintain a balanced diet and stay hydrated.
COPD,"[""agitation"", ""loss of smell"", ""headache"", ""swelling"", ""night sweats"", ""cough""]",Maintain a balanced diet and stay hydrated.
Epilepsy,"[""chill"", ""confusion"", ""loss of smell""]",Follow prescribed medication schedules carefully. Maintain hygiene to prevent infections.
Gastroenteritis,"[""night sweats"", ""loss of smell"", ""loss of taste"", ""weight loss"", ""shortness of breath"", ""joint pain"", ""chill"", ""palpitations""]",Avoid known triggers and allergens.
Rheumatoid arthritis,"[""blurred vision"", ""dizziness"", ""seizure"", ""chill"", ""muscle twitch"", ""chill"", ""sore throat"", ""night sweats""]",Follow prescribed medication schedules carefully.
Alzheimer's disease,"[""sleeplessness"", ""agitation"", ""shortness of breath"", ""loss of taste"", ""fatigue""]",Engage in regular physical activity appropriate to your condition.
Migraine,"[""sleeplessness"", ""chill"", ""headache""]",Stay informed and get vaccinated when available. Avoid known triggers and allergens.
Gastroenteritis,"[""dizziness"", ""diarrhea"", ""chest pain"", ""palpitations"", ""tremor"", ""joint pain"", ""loss of taste"", ""seizure""]",Stay informed and get vaccinated when available.
Diabetes mellitus,"[""diarrhea"", ""constipation"", ""chill"", ""rash""]",Quit smoking and avoid alcohol consumption. Maintain hygiene to prevent infections.
Hyperthyroidism,"[""chest pain"", ""constipation"", ""nausea"", ""seizure"", ""vomiting""]",Engage in regular physical activity appropriate to your condition.
Rheumatoid arthritis,"[""dizziness"", ""dizziness"", ""confusion"", ""seizure"", ""sore throat""]",Get adequate rest and sleep.
Parkinson's disease,"[""loss of taste"", ""cough"", ""tremor"", ""constipation""]",Get adequate rest and sleep. Follow prescribed medication schedules carefully.
Rheumatoid arthritis,"[""joint pain"", ""loss of taste"", ""palpitations"", ""sore throat"", ""nausea"", ""cough"", ""chill""]",Get adequate rest and sleep.
Pneumocystis carinii pneumonia,"[""diarrhea"", ""weight loss"", ""blurred vision"", ""loss of taste""]",Ensure regular check-ups with your healthcare provider. Follow prescribed medication schedules carefully.
Migraine,"[""diarrhea"", ""agitation"", ""swelling""]",Follow prescribed medication schedules carefully. Engage in regular physical activity appropriate to your condition.
Pneumocystis carinii pneumonia,"[""nausea"", ""loss of smell"", ""loss of taste"", ""muscle twitch""]",Ensure regular check-ups with your healthcare provider.
Parkinson's disease,"[""headache"", ""muscle twitch"", ""agitation"", ""tremor""]",Ensure regular check-ups with your healthcare provider.
Stroke,"[""chill"", ""confusion"", ""dizziness"", ""dizziness""]",Stay informed and get vaccinated when available.
Parkinson's disease,"[""loss of smell"", ""fever"", ""vomiting"", ""nausea"", ""fatigue"", ""shortness of breath""]",Quit smoking and avoid alcohol consumption.
Hyperthyroidism,"[""muscle twitch"", ""seizure"", ""sore throat"", ""chill"", ""constipation"", ""blurred vision"", ""tremor""]",Ensure regular check-ups with your healthcare provider.
Diabetes mellitus,"[""fever"", ""diarrhea"", ""weight loss"", ""chest pain"", ""muscle twitch""]",Engage in regular physical activity appropriate to your condition.
Alzheimer's disease,"[""sleeplessness"", ""agitation"", ""blurred vision""]",Stay informed and get vaccinated when available.
Parkinson's disease,"[""blurred vision"", ""palpitations"", ""seizure"", ""diarrhea"", ""chill"", ""confusion"", ""sore throat"", ""dizziness""]",Follow prescribed medication schedules carefully.
Hypertension,"[""diarrhea"", ""sore throat"", ""rash"", ""vomiting""]",Practice stress-reducing techniques like meditation.
Asthma,"[""loss of smell"", ""fever"", ""fatigue"", ""tremor"", ""night sweats"", ""chest pain""]",Avoid known triggers and allergens.
Stroke,"[""sore throat"", ""nausea"", ""chill"", ""confusion"", ""muscle twitch"", ""swelling"", ""tremor"", ""dizziness""]",Quit smoking and avoid alcohol consumption. Practice stress-reducing techniques like meditation.
Coronary artery disease,"[""nausea"", ""sore throat"", ""loss of smell"", ""dizziness""]",Engage in regular physical activity appropriate to your condition.
Migraine,"[""diarrhea"", ""swelling"", ""fever"", ""dizziness"", ""constipation"", ""agitation""]",Ensure regular check-ups with your healthcare provider.
Migraine,"[""agitation"", ""night sweats"", ""nausea"", ""confusion"", ""fatigue"", ""fever"", ""muscle twitch""]",Quit smoking and avoid alcohol consumption.
Asthma,"[""diarrhea"", ""fatigue"", ""confusion""]",Get adequate rest and sleep. Maintain hygiene to prevent infections.
